job_id,job_tags
35BB8B4E,nhân viên phát triển thị trường
35BB8B4E,rượu
35BB8B4E,Horeca Sales
35BB8B4E,Nhân Viên Kinh Doanh Horeca
35BB8B4E,Horeca
35BB8B4D,Chuyên viên khai thác đối tác Phòng Ngân sách nhà nước và dịch vụ trả lương Khối Khách hàng cá nhân
35BB8B4F,Giáo Viên Ielts Toàn Quốc Offline/Online
35BB8B4F,Giảng viên
35BB8B4F,Teacher
35BB8B4F,Trợ giảng
35BB8B4F,Lecturer
35BB8B4F,teaching
35BB8B4F,gia sư
35BB8B33,Unknown
35BB8B54,Director
35BB8B52,giao hàng
35BB8B53,Nhân viên Marketing
35BB8B53,Marketing Executive
35BB8B53,Marketer
35BB8B5B,Unknown
35BB8B59,Sales Supervisor
35BB8B59,Nhân viên kinh doanh
35BB8B59,Chuyên viên kinh doanh
35BB8B59,Quản lý kinh doanh
35BB8B59,Nhân viên bán hàng
35BB8B59,Chuyên viên bán hàng
35BB8B5C,data analyst
35BB8B5C,DA
35BB8B5D,Documentation Officer
35BB8B5D,Document Control Officer
35BB8B5D,Document Controller
35BB8AF2,Business development officer
35BB8AF2,Chuyên viên phát triển
35BB8AF2,Business Development Executive
35BB8AF2,Business Development Specialist
35BB8AF2,Business Development Staff
35BB8AF2,Nhân viên phát triển kinh doanh
35BB8AF2,Biz Development Executive
35BB8B60,[ Đồng Nai ] - Production staff N - Up to M
35BB8B60,Nhân viên phòng kỹ thuật sản xuất
35BB8B60,Production Technician
35BB8B60,Production Executive
35BB8B60,Production Officer
35BB8B0E,Unknown
35BB8B56,Giám Đốc Logistics
35BB8B56,Logistics
35BB8B0C,Tư vấn du học
35BB8B0C,Nhân viên tư vấn du học
35BB8B0C,nhân viên làm hồ sơ du học
35BB8B0C,Nhân viên hành chánh tư vấn du học
35BB8B0C,Tư vấn viên du học
35BB8B0C,Nhân viên tư vấn du học Study Abroad Counselor
35BB8B0C,Tư vấn giáo dục
35BB8B0C,Nhân viên tư vấn giáo dục
35BB8B0C,Nhân viên tư vấn tuyển sinh
35BB20C4,Trưởng nhóm Tư vấn tuyển sinh Khóa học Lập trình CNTT
35BB20C4,Tư vấn đào tạo
35BB8B14,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp
35BB8B14,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp Khu vực Hạ Long
35BB8B12,Unknown
35BB8B13,[HCM - Q] Chuyên Viên Kiểm Toán Nội Bộ
35BB8B13,Kiểm soát viên nội bộ
35BB8B13,Kiểm toán viên nội bộ
35BB8B13,Chuyên viên kiểm soát nội bộ
35BB8B13,Compliance Auditor
35BB8B13,Kiểm toán viên
35BB8B13,Auditing supervisor
35BB8B13,Kiểm toán tư nhân
35BB8B13,Kiểm toán nhà nước
35BB8B13,Auditor
35BB8B13,Internal Auditor
35BB8A49,nhân viên kinh doanh
35BB8A49,Chuyên viên kinh doanh
35BB8B18,Unknown
35BB8B17,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp
35BB8B17,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp Khu vực Tiền Giang Phú Quốc Hồ Chí Minh
35BB8B17,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp Khu vực Hà Nội Bắc Giang Hạ Long
35BB8B17,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp Khu vực Hồ Chí Minh Phú Quốc
35BB8B17,Chuyên viên Khách hàng Cá nhân - Khối Bán trực tiếp Khu vực Hồ Chí Minh Tiền Giang
35BB8B0F,Unknown
35BB8B21,Unknown
35BB8B1E,Unknown
35BB8B1A,Nhân Viên Quản Lý Chất Lượng Gia Công Cơ Khí
35BB8B1A,QA/QC staff
35BB8B1A,Nhân viên KCS
35BB8B1A,Nhân viên QA/QC
35BB8B1A,Tester
35BB8B1A,Nhan vien HACCP
35BB8B1A,Nhân viên QA HACCP
35BB8B1A,QA HACCP Staff
35BB8B1A,Nhân viên KCS thành phẩm
35BB8B1A,Nhân viên bộ phận chất lượng
35BB8B1A,Nhân viên QA
35BB8B1C,Giảng Viên Frontend  Reactjs + Node.JS Part-Time làm online
35BB8B1C,Giáo viên
35BB8B1C,Giáo sư
35BB8B1C,Teacher
35BB8B1C,Lecturer
35BB8B1C,Giáo viên thỉnh giảng
