job_id,outstanding_welfare
35BB8AAB,Chế độ bảo hiểm
35BB8AAB,Du Lịch
35BB8AAB,Chế độ thưởng
35BB8A8E,Chế độ bảo hiểm
35BB8A8E,Du Lịch
35BB8A8E,Phụ cấp
35BB8AA6,Laptop
35BB8AA6,Chế độ bảo hiểm
35BB8AA6,Du Lịch
35BB8AB0,Chế độ bảo hiểm
35BB8AB0,Du Lịch
35BB8AB0,Phụ cấp
35BB8A69,Chế độ bảo hiểm
35BB8A69,Du Lịch
35BB8A69,Chế độ thưởng
35BB8A6A,Laptop
35BB8A6A,Chế độ bảo hiểm
35BB8A6A,Du Lịch
35BB8A63,Chế độ bảo hiểm
35BB8A63,Du Lịch
35BB8A63,Phụ cấp
35BB8A67,Chế độ bảo hiểm
35BB8A67,Du Lịch
35BB8A67,Chế độ thưởng
35BB8A62,Chế độ bảo hiểm
35BB8A62,Du Lịch
35BB8A62,Xe đưa đón
35BB8A6B,Chế độ bảo hiểm
35BB8A6B,Du Lịch
35BB8A6B,Chế độ thưởng
35BB8A6D,Chế độ bảo hiểm
35BB8A6D,Du Lịch
35BB8A6D,Phụ cấp
35BB86CC,Chế độ bảo hiểm
35BB86CC,Du Lịch
35BB86CC,Chế độ thưởng
35BB8A6C,Chế độ bảo hiểm
35BB8A6C,Du Lịch
35BB8A6C,Phụ cấp
35BB8A6E,Chế độ bảo hiểm
35BB8A6E,Du Lịch
35BB8A6E,Chế độ thưởng
35BB8A70,Laptop
35BB8A70,Chế độ bảo hiểm
35BB8A70,Phụ cấp
35BB8846,Chế độ bảo hiểm
35BB8846,Du Lịch
35BB8846,Đồng phục
35BB8A2A,Chế độ bảo hiểm
35BB8A2A,Du Lịch
35BB8A2A,Chế độ thưởng
35BB8A1C,Chế độ bảo hiểm
35BB8A1C,Du Lịch
35BB8A1C,Phụ cấp
35BB8A2E,Chế độ bảo hiểm
35BB8A2E,Du Lịch
35BB8A2E,Chăm sóc sức khỏe
35BB8A2B,Chế độ bảo hiểm
35BB8A2B,Du Lịch
35BB8A2B,Chế độ thưởng
35BB8A2C,Chế độ bảo hiểm
35BB8A2C,Du Lịch
35BB8A2C,Phụ cấp
35BB8A32,Chế độ bảo hiểm
35BB8A32,Du Lịch
35BB8A32,Chế độ thưởng
35BB8A2F,Chế độ bảo hiểm
35BB8A2F,Du Lịch
35BB8A2F,Đồng phục
35BB8A31,Laptop
35BB8A31,Chế độ bảo hiểm
35BB8A31,Du Lịch
35BB8A36,Chế độ bảo hiểm
35BB8A36,Du Lịch
35BB8A36,Phụ cấp
35BB8A38,Chế độ bảo hiểm
35BB8A38,Du Lịch
35BB8A38,Chế độ thưởng
35BB8A34,Chế độ bảo hiểm
35BB8A34,Du Lịch
35BB8A34,Phụ cấp
35BB8A3B,Chế độ bảo hiểm
35BB8A3B,Du Lịch
35BB8A3B,Chế độ thưởng
35BB8A3D,Chế độ bảo hiểm
35BB8A3D,Du Lịch
35BB8A3D,Chế độ thưởng
35BB8A3C,Unknown
35BB8A33,Laptop
35BB8A33,Chế độ bảo hiểm
35BB8A33,Chăm sóc sức khỏe
35BB89EB,Chế độ bảo hiểm
35BB89EB,Du Lịch
35BB89EB,Chế độ thưởng
35BB8A40,Chế độ bảo hiểm
35BB8A40,Du Lịch
35BB8A40,Chế độ thưởng
35BB89EE,Laptop
35BB89EE,Chế độ bảo hiểm
35BB89EE,Du Lịch
35BB89F1,Laptop
35BB89F1,Chế độ bảo hiểm
35BB89F1,Du Lịch
35BB89ED,Chế độ bảo hiểm
35BB89ED,Du Lịch
35BB89ED,Chế độ thưởng
35BB89F2,Chế độ bảo hiểm
35BB89F2,Du Lịch
35BB89F2,Phụ cấp
35BB8A3A,Laptop
35BB8A3A,Chế độ bảo hiểm
35BB8A3A,Du Lịch
35BB89E2,Chế độ bảo hiểm
35BB89E2,Du Lịch
35BB89E2,Phụ cấp
35BB89F5,Chế độ bảo hiểm
35BB89F5,Du Lịch
35BB89F5,Đồng phục
35BB89F6,Laptop
35BB89F6,Du Lịch
35BB89F6,Phụ cấp
35BB89F3,Chế độ bảo hiểm
35BB89F3,Du Lịch
35BB89F3,Đồng phục
35BB89FA,Chế độ bảo hiểm
35BB89FA,Du Lịch
35BB89FA,Chế độ thưởng
35BB8842,Chế độ bảo hiểm
35BB8842,Du Lịch
35BB8842,Phụ cấp
35BB89F0,Chế độ bảo hiểm
35BB89F0,Du Lịch
35BB89F0,Phụ cấp
35BB89FB,Laptop
35BB89FB,Chế độ bảo hiểm
35BB89FB,Phụ cấp
35BB89FC,Laptop
35BB89FC,Chế độ bảo hiểm
35BB89FC,Du Lịch
35BB89B0,Chế độ bảo hiểm
35BB89B0,Du Lịch
35BB89B0,Đồng phục
35BB89B1,Laptop
35BB89B1,Chế độ bảo hiểm
35BB89B1,Du Lịch
35BB84E7,Chế độ bảo hiểm
35BB84E7,Du Lịch
35BB84E7,Phụ cấp
35BB89AF,Chế độ bảo hiểm
