job_id,job_tags
35BB8629,Trưởng phòng nhân sự
35BB8629,Head Of Human Resources
35BB8629,HR Manager
35BB8629,Human Resources Manager
35BB8629,HR Director
35BB8629,Human Resources Director
35BB8629,giám đốc hành chánh nhân sự
35BB8629,Giám đốc hành chính nhân sự
35BB862A,Nhân viên Marketing
35BB862A,Chuyên viên Marketing
35BB862A,Nhân viên quảng cáo truyền thông
35BB862A,Chuyên viên truyền thông quảng cáo
35BB857F,giao nhận
35BB8624,Unknown
35BB8621,Chuyên viên thiết kế
35BB8621,Nhân viên thiết kế
35BB8621,Designer
35BB8621,Nhân viên phòng thiết kế
35BB8625,Sales Engineer HCM/HN
35BB8625,Kỹ sư kinh doanh
35BB8625,Service Engineer
35BB8625,Kỹ sư bán hàng
35BB8628,Nhân Viên Thiết Kế Nội Thất Thu Nhập Hấp Dẫn
35BB8628,Furniture Designer
35BB8628,Nhân viên thiết kế nội thất
35BB8628,Thiết kế nội thất
35BB8628,Thiết kế đồ họa
35BB85EB,Trợ lý
35BB85E1,Chuyên Viên Tư Vấn/ Kinh Doanh Data Sẵn -Tỷ Lệ Chốt Cao Thu Nhập -M++
35BB85E1,Nhân viên tư vấn
35BB85E1,Tư vấn viên
35BB85E1,Consultant
35BB85E1,Counsellor
35BB85E1,Consultant Executive
35BB862D,Nhân viên kế toán
35BB862D,Kế toán viên
35BB862D,Accountant
35BB862D,Chuyên viên kế toán
35BB862F,Chuyên Viên Tư Vấn  Ocean Edu Lạng Sơn
35BB862F,Nhân viên tư vấn
35BB862F,Tư vấn viên
35BB862F,Consultant
35BB862F,Counsellor
35BB862F,Consultant Executive
35BB84A3,Financial Analyst
35BB85F0,Shop Drawing
35BB85F0,Họa viên kiến trúc
35BB8638,Trợ lý giám đốc
35BB8638,Assistant Manager
35BB8638,Assistant Director
35BB8638,kiêm nhân viên hành chính văn phòng
35BB8638,Trợ lý phó tổng giám đốc sản xuất cung ứng
35BB8638,Trợ lý phó giám đốc
35BB8638,Tongcongty
35BB8637,Unknown
35BB85F2,Assistant
35BB85F8,Lễ tân
35BB85F8,Tiếp tân
35BB85F8,Lễ tân tòa nhà
35BB85F8,Nhân viên lễ tân
35BB85F8,Lễ tân nhà hàng
35BB85F8,Lễ tân khách sạn
35BB85F8,Lễ tân quầy sảnh
35BB85F8,Lễ tân sảnh
35BB85F8,Nhân viên lễ tân văn phòng
35BB85F8,Nhân viên thư ký lễ tân
35BB85F3,Business development officer
35BB85F3,Chuyên viên phát triển
35BB85F3,Business Development Specialist
35BB85F3,Business Development Staff
35BB85F3,Nhân viên phát triển kinh doanh
35BB85F3,Chuyên viên phát triển kinh doanh
35BB862E,Nhân viên dịch vụ khách hàng
35BB862E,Customer care staff
35BB862E,Customer service staff
35BB862E,Customer service executive
35BB862E,Nhân viên hỗ trợ khách hàng
35BB862E,Customer service representative
35BB862E,Customer services
35BB862E,trực tổng đài
