company_id,company_title,company_url,company_video_url
C00507,CÔNG TY TNHH JP NELSON EQUIPMENT VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-jp-nelson-equipment-viet-nam.35A7F8B3.html,Unknown
C00508,CÔNG TY TNHH KIMS COOK MARKETING,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kims-cook-marketing.35A95D25.html,Unknown
C00509,CÔNG TY TNHH KINH DOANH LỐP XE BRIDGESTONE VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kinh-doanh-lop-xe-bridgestone-viet-nam.35A95070.html,Unknown
C00510,CÔNG TY TNHH KINTETSU WORLD EXPRESS VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kintetsu-world-express-viet-nam.35A90F5B.html,Unknown
C00511,CÔNG TY TNHH KITZ VALVE & ACTUATION VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kitz-valve-actuation-viet-nam.35A91895.html,https://www.youtube.com/watch?v=mDP8g_FFb7I
C00512,CÔNG TY TNHH KIẾN TRÚC - NỘI THẤT NAM ANH,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kien-truc-noi-that-nam-anh.35A6C14C.html,Unknown
C00513,CÔNG TY TNHH KIẾN TRÚC PHONG THỦY TAM NGUYÊN,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kien-truc-phong-thuy-tam-nguyen.35A956E7.html,Unknown
C00514,CÔNG TY TNHH KIỂM TOÁN & TƯ VẤN RSM VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kiem-toan-tu-van-rsm-viet-nam.35A88FC4.html,Unknown
C00515,CÔNG TY TNHH KOKUYO VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-kokuyo-viet-nam.35A95209.html,Unknown
C00516,CÔNG TY TNHH KỸ NGHỆ VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-ky-nghe-viet-nam.35A95E60.html,Unknown
C00517,CÔNG TY TNHH KỸ THUẬT GOLDEN ARROW VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-ky-thuat-golden-arrow-viet-nam.35A95212.html,Unknown
C00518,CÔNG TY TNHH KỸ THƯƠNG THUẬN HIỀN,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-ky-thuong-thuan-hien.35A958F6.html,Unknown
C00519,CÔNG TY TNHH LA VIE,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-la-vie.35A8B197.html,Unknown
C00520,CÔNG TY TNHH LALAMOVE VIETNAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-lalamove-vietnam.35A91090.html,https://www.youtube.com/watch?v=r4BUGOMiTf8&t=17s
C00521,CÔNG TY TNHH LEADERART INDUSTRIES (VIETNAM),https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-leaderart-industries-vietnam.35A8D92B.html,Unknown
C00522,CÔNG TY TNHH LEOTRANS SHIPPING,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-leotrans-shipping.35A90E5A.html,Unknown
C00523,CÔNG TY TNHH LESCHACO VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-leschaco-viet-nam.35A8F3F1.html,Unknown
C00524,CÔNG TY TNHH LONG PHƯỚC - HT,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-long-phuoc-ht.35A9495F.html,Unknown
C00525,CÔNG TY TNHH LOTTE F&G VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-lotte-f-g-viet-nam.35A8F24C.html,Unknown
C00526,CÔNG TY TNHH LUNET GENERAL,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-lunet-general.35A913CD.html,Unknown
C00527,CÔNG TY TNHH M.E.NIKKISO VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-m-e-nikkiso-viet-nam.35A8B815.html,Unknown
C00528,CÔNG TY TNHH MAY MẶC LEADING STAR VN,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-may-mac-leading-star-vn.35A794EC.html,Unknown
C00529,CÔNG TY TNHH MED247,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-med247.35A86ED9.html,https://www.youtube.com/watch?v=Zfz1HNe309o
C00530,CÔNG TY TNHH MINTHACARE,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-minthacare.35A8D134.html,Unknown
C00531,CÔNG TY TNHH MTV ANH KHUÊ PHARMA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-anh-khue-pharma.35A91A1C.html,Unknown
C00532,CÔNG TY TNHH MTV BOXGATES,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-boxgates.35A926F6.html,Unknown
C00533,CÔNG TY TNHH MTV CHẾ TÁC VÀ KINH DOANH TRANG SỨC PNJ,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-che-tac-va-kinh-doanh-trang-suc-pnj.35A83DF2.html,Unknown
C00534,CÔNG TY TNHH MTV DRAGONEX VIETNAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-dragonex-vietnam.35A95876.html,Unknown
C00535,CÔNG TY TNHH MTV GIỐNG CÂY TRỒNG SỐ MỘT,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-giong-cay-trong-so-mot.35A95484.html,Unknown
C00536,CÔNG TY TNHH MTV MAI HƯƠNG PHÁT,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-mai-huong-phat.35A9266A.html,Unknown
C00537,CÔNG TY TNHH MTV NANOHOME,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-nanohome.35A896A4.html,Unknown
C00538,CÔNG TY TNHH MTV NGUYỄN ĐÌNH NGHĨA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-nguyen-dinh-nghia.35A86AC3.html,Unknown
C00539,CÔNG TY TNHH MTV SX TM DV HÀNH SANH,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-sx-tm-dv-hanh-sanh.35A9586C.html,Unknown
C00540,CÔNG TY TNHH MTV TM HYTORC VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-tm-hytorc-viet-nam.35A73F7A.html,https://www.youtube.com/watch?v=VafQGS-wji4
C00541,CÔNG TY TNHH MTV TRANSIMEX HI TECH PARK LOGISTICS,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-transimex-hi-tech-park-logistics.35A90E07.html,Unknown
C00542,CÔNG TY TNHH MTV Tin Học Á Đông Vi Na,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-tin-hoc-a-dong-vi-na.35A84FCA.html,Unknown
