job_id,nganh_nghe
35BB857E,Truyền hình / Báo chí / Biên tập
35BB857E,Tiếp thị / Marketing
35BB8581,Kế toán / Kiểm toán
35BB8581,Ngân hàng
35BB8581,Tài chính / Đầu tư
35BB85C6,Vận chuyển / Giao nhận /  Kho vận
35BB849E,CNTT - Phần mềm
35BB849E,Bán hàng / Kinh doanh
35BB849E,Cơ khí / Ô tô / Tự động hóa
35BB8583,Ngân hàng
35BB8583,Tài chính / Đầu tư
35BB8583,Luật / Pháp lý
35BB8587,Bán lẻ / Bán sỉ
35BB8587,Hàng gia dụng / Chăm sóc cá nhân
35BB8587,Nhân sự
35BB8582,Xây dựng
35BB8584,Hành chính / Thư ký
35BB8584,Kế toán / Kiểm toán
35BB8586,Nhà hàng / Khách sạn
35BB8586,Điện / Điện tử / Điện lạnh
35BB8586,Bảo trì / Sửa chữa
35BB84FC,Tiếp thị / Marketing
35BB84FC,Tiếp thị trực tuyến
35BB84FC,Giáo dục / Đào tạo
35BB8585,Tiếp thị / Marketing
35BB8585,Truyền hình / Báo chí / Biên tập
35BB8585,Quảng cáo / Đối ngoại / Truyền Thông
35BB8588,Bán hàng / Kinh doanh
35BB8588,Bất động sản
35BB8588,Bán lẻ / Bán sỉ
35BB8580,Nhà hàng / Khách sạn
35BB8580,Bảo trì / Sửa chữa
35BB8580,Xây dựng
35BB84EB,Tiếp thị / Marketing
35BB84EB,Tiếp thị trực tuyến
35BB84EB,Giáo dục / Đào tạo
35BB858B,Sản xuất / Vận hành sản xuất
35BB858B,Quản lý chất lượng (QA/QC)
35BB8589,Tiếp thị trực tuyến
35BB8589,Dịch vụ khách hàng
35BB8589,Tài chính / Đầu tư
35BB858D,Nhà hàng / Khách sạn
35BB858D,Bảo trì / Sửa chữa
35BB858D,Đồ gỗ
35BB8542,Unknown
35BB858E,Nhà hàng / Khách sạn
35BB858E,Điện / Điện tử / Điện lạnh
35BB858E,Bảo trì / Sửa chữa
35BB8546,Dịch vụ khách hàng
35BB8546,Cơ khí / Ô tô / Tự động hóa
35BB8546,Điện / Điện tử / Điện lạnh
35BB8543,Tiếp thị / Marketing
35BB8543,Tiếp thị trực tuyến
35BB8543,Quảng cáo / Đối ngoại / Truyền Thông
35BB8548,Bán hàng / Kinh doanh
35BB8548,Xây dựng
35BB8548,Hóa học
35BB854A,Tiếp thị / Marketing
35BB854A,Quảng cáo / Đối ngoại / Truyền Thông
35BB854A,Dệt may / Da giày / Thời trang
35BB8547,Dịch vụ khách hàng
35BB8547,Ngành khác
35BB8524,Bán hàng / Kinh doanh
35BB8524,Thực phẩm & Đồ uống
35BB8524,Công nghệ thực phẩm / Dinh dưỡng
35BB84B2,Hóa học
35BB84B2,Dệt may / Da giày / Thời trang
35BB84B2,Quản lý chất lượng (QA/QC)
35BB852B,Hành chính / Thư ký
35BB852B,Biên phiên dịch
35BB8552,Ngành khác
35BB854E,Bảo trì / Sửa chữa
35BB854E,Dịch vụ khách hàng
35BB854E,Điện / Điện tử / Điện lạnh
35BB8544,Vận chuyển / Giao nhận /  Kho vận
35BB8545,Tiếp thị / Marketing
35BB8545,Bán lẻ / Bán sỉ
35BB8545,Bán hàng / Kinh doanh
35BB854B,Tiếp thị / Marketing
35BB854B,Bán lẻ / Bán sỉ
35BB854B,Bán hàng / Kinh doanh
35BB8553,Nhân sự
35BB8553,Kế toán / Kiểm toán
35BB8553,Thu mua / Vật tư
35BB8551,Kế toán / Kiểm toán
35BB84FB,Bán hàng / Kinh doanh
35BB84FB,Thực phẩm & Đồ uống
35BB84FB,Bất động sản
35BB8388,Tiếp thị / Marketing
35BB8388,Bán hàng / Kinh doanh
35BB8388,Giáo dục / Đào tạo
35BB84FE,Tiếp thị / Marketing
35BB84FE,Bán lẻ / Bán sỉ
35BB84FE,Dệt may / Da giày / Thời trang
35BB8500,Tiếp thị / Marketing
35BB8500,Bán lẻ / Bán sỉ
35BB8500,Dệt may / Da giày / Thời trang
35BB8506,Bán hàng / Kinh doanh
35BB8506,Xuất nhập khẩu
35BB8506,Thu mua / Vật tư
35BB8157,Bảo hiểm
35BB8157,Tài chính / Đầu tư
35BB8157,Bán hàng / Kinh doanh
35BB8501,Unknown
35BB8508,Tiếp thị / Marketing
35BB8508,Bán hàng / Kinh doanh
35BB8508,Thực phẩm & Đồ uống
35BB84FF,Bán hàng / Kinh doanh
35BB84FF,Dịch vụ khách hàng
35BB84FF,CNTT - Phần mềm
35BB850B,Dịch vụ khách hàng
35BB850B,Nhà hàng / Khách sạn
35BB8356,Hành chính / Thư ký
35BB8356,Kế toán / Kiểm toán
35BB8356,Thống kê
35BB850E,Tiếp thị / Marketing
35BB850E,Tiếp thị trực tuyến
35BB850E,Thực phẩm & Đồ uống
35BB84FD,Nhân sự
35BB84CD,Bán hàng / Kinh doanh
35BB84CD,Tư vấn
35BB84CD,Dịch vụ khách hàng
35BB836E,Thủy sản / Hải sản
35BB836E,Công nghệ thực phẩm / Dinh dưỡng
35BB836E,Quản lý chất lượng (QA/QC)
35BB850D,Tiếp thị / Marketing
35BB850D,CNTT - Phần mềm
35BB850D,Truyền hình / Báo chí / Biên tập
35BB84D2,Kế toán / Kiểm toán
35AA48FF,Mới tốt nghiệp / Thực tập
35AA48FF,Thư viện
35AA48FF,Trắc địa / Địa Chất
35BB836B,Bán hàng / Kinh doanh
35BB836B,Vận chuyển / Giao nhận /  Kho vận
35BB836B,Hành chính / Thư ký
35BB84D0,Unknown
35BB84D5,Vận chuyển / Giao nhận /  Kho vận
35BB84CF,Biên phiên dịch
35BB84D1,Kế toán / Kiểm toán
35BB84D3,Kế toán / Kiểm toán
35BB84D3,CNTT - Phần mềm
35BB84D3,Ngành khác
35BB84D9,Vận chuyển / Giao nhận /  Kho vận
35BB84D7,Xây dựng
35BB84D7,Kế toán / Kiểm toán
35BB84D7,Hành chính / Thư ký
35BB84DC,Tiếp thị / Marketing
35BB84DC,Bán lẻ / Bán sỉ
35BB84DC,Tiếp thị trực tuyến
35BB84CC,Kế toán / Kiểm toán
35BB84CC,Vận chuyển / Giao nhận /  Kho vận
35BB84CC,Xuất nhập khẩu
35BB84DD,Cơ khí / Ô tô / Tự động hóa
35BB84D8,Bán lẻ / Bán sỉ
35BB84D8,Bán hàng / Kinh doanh
35BB84D8,Cơ khí / Ô tô / Tự động hóa
35BB84DA,Vận chuyển / Giao nhận /  Kho vận
35BB84DA,CNTT - Phần mềm
