job_id,detailed_welfare
35BB8663,Chế độ thưởng
35BB8663,Chăm sóc sức khỏe
35BB8663,Đào tạo
35BB8663,Tăng lương
35BB8663,Công tác phí
35BB8663,Phụ cấp thâm niên
35BB8663,Nghỉ phép năm
35BB8666,Laptop
35BB8666,Chế độ bảo hiểm
35BB8666,Du Lịch
35BB8666,Phụ cấp
35BB8666,Chế độ thưởng
35BB8666,Chăm sóc sức khỏe
35BB8666,Đào tạo
35BB8666,Tăng lương
35BB8666,Nghỉ phép năm
35BB8669,Laptop
35BB8669,Chế độ bảo hiểm
35BB8669,Du Lịch
35BB8669,Phụ cấp
35BB8669,Đồng phục
35BB8669,Chế độ thưởng
35BB8669,Chăm sóc sức khỏe
35BB8669,Tăng lương
35BB8669,Công tác phí
35BB8669,Phụ cấp thâm niên
35BB8669,Nghỉ phép năm
35BB8561,Chế độ bảo hiểm
35BB8561,Du Lịch
35BB8561,Chế độ thưởng
35BB8561,Đào tạo
35BB8561,Tăng lương
35BB8561,Công tác phí
35BB8561,Nghỉ phép năm
35BB8668,Laptop
35BB8668,Chế độ bảo hiểm
35BB8668,Du Lịch
35BB8668,Phụ cấp
35BB8668,Chế độ thưởng
35BB8668,Chăm sóc sức khỏe
35BB8668,Đào tạo
35BB8668,Tăng lương
35BB8668,Nghỉ phép năm
35BB8658,Laptop
35BB8658,Chế độ bảo hiểm
35BB8658,Du Lịch
35BB8658,Phụ cấp
35BB8658,Chế độ thưởng
35BB8658,Chăm sóc sức khỏe
35BB8658,Đào tạo
35BB8658,Tăng lương
35BB8664,Laptop
35BB8664,Chế độ bảo hiểm
35BB8664,Du Lịch
35BB8664,Phụ cấp
35BB8664,Chế độ thưởng
35BB8664,Đào tạo
35BB8664,Tăng lương
35BB8664,Công tác phí
35BB8664,Nghỉ phép năm
35BB8664,CLB thể thao
35BB8627,Unknown
35BB866B,Laptop
35BB866B,Chế độ bảo hiểm
35BB866B,Du Lịch
35BB866B,Phụ cấp
35BB866B,Đồng phục
35BB866B,Chế độ thưởng
35BB866B,Chăm sóc sức khỏe
35BB866B,Đào tạo
35BB866B,Tăng lương
35BB866B,Công tác phí
35BB866B,Phụ cấp thâm niên
35BB866B,Nghỉ phép năm
35BB85D4,Chế độ bảo hiểm
35BB85D4,Du Lịch
35BB85D4,Chế độ thưởng
