job_id,nganh_nghe
35BB5445,Bán hàng / Kinh doanh
35BB5445,Kế toán / Kiểm toán
35BB53B6,Tiếp thị / Marketing
35BB53B6,Bán hàng / Kinh doanh
35BB53B6,Giáo dục / Đào tạo
35BB53F4,Tiếp thị / Marketing
35BB53F4,Bán hàng / Kinh doanh
35BB53F4,Giáo dục / Đào tạo
35BB5371,Tiếp thị / Marketing
35BB5371,Bán hàng / Kinh doanh
35BB5371,Giáo dục / Đào tạo
35BB53F1,Tiếp thị / Marketing
35BB53F1,Bán hàng / Kinh doanh
35BB53F1,Giáo dục / Đào tạo
35BB535D,Bán lẻ / Bán sỉ
35BB535D,Bán hàng / Kinh doanh
35BB535D,Giáo dục / Đào tạo
35BB53D7,Thu mua / Vật tư
35BB5404,Bán hàng / Kinh doanh
35BB5404,Tư vấn
35BB5404,Quảng cáo / Đối ngoại / Truyền Thông
35BB5372,Tiếp thị / Marketing
35BB5372,Bán hàng / Kinh doanh
35BB5372,Giáo dục / Đào tạo
35BB5362,Bán lẻ / Bán sỉ
35BB5362,Bán hàng / Kinh doanh
35BB5362,Giáo dục / Đào tạo
35BB536F,Tiếp thị / Marketing
35BB536F,Bán hàng / Kinh doanh
35BB536F,Giáo dục / Đào tạo
35BB536E,Tiếp thị / Marketing
35BB536E,Bán hàng / Kinh doanh
35BB536E,Giáo dục / Đào tạo
35BB534D,Tiếp thị / Marketing
35BB534D,Bán hàng / Kinh doanh
35BB534D,Giáo dục / Đào tạo
35BB534C,Tiếp thị / Marketing
35BB534C,Bán hàng / Kinh doanh
35BB534C,Giáo dục / Đào tạo
35BB5396,Kế toán / Kiểm toán
35BB5396,Tài chính / Đầu tư
35BB5348,Tiếp thị / Marketing
35BB5348,Bán hàng / Kinh doanh
35BB5348,Giáo dục / Đào tạo
35BB534A,Tiếp thị / Marketing
35BB534A,Bán hàng / Kinh doanh
35BB534A,Giáo dục / Đào tạo
35BB5370,Tiếp thị / Marketing
35BB5370,Bán hàng / Kinh doanh
35BB5370,Giáo dục / Đào tạo
35BB5349,Tiếp thị / Marketing
35BB5349,Bán hàng / Kinh doanh
35BB5349,Giáo dục / Đào tạo
35BB6458,Môi trường
35BB6458,Bảo trì / Sửa chữa
35BB6458,An toàn lao động
35BB6464,Quản lý điều hành
35BB6464,Sản xuất / Vận hành sản xuất
35BB643F,Điện / Điện tử / Điện lạnh
35BB643F,Bảo trì / Sửa chữa
35BB643F,Xây dựng
35BB649F,Xuất nhập khẩu
35BB649F,Dệt may / Da giày / Thời trang
35BB649F,Thu mua / Vật tư
35BB6461,Dịch vụ khách hàng
35BB6461,Hành chính / Thư ký
35BB64AD,Tiếp thị / Marketing
35BB64AD,Bán hàng / Kinh doanh
35BB641F,Bán hàng / Kinh doanh
35BB641F,Bất động sản
35BB641F,Bán lẻ / Bán sỉ
35BB640D,Cơ khí / Ô tô / Tự động hóa
35BB53C6,Kế toán / Kiểm toán
35BB539E,Thực phẩm & Đồ uống
35BB539E,Công nghệ sinh học
35BB539E,Công nghệ thực phẩm / Dinh dưỡng
35BB546C,Tiếp thị / Marketing
35BB546C,Bán lẻ / Bán sỉ
35BB546C,Bán hàng / Kinh doanh
35BB53EA,Vận chuyển / Giao nhận /  Kho vận
35BB53F2,Kế toán / Kiểm toán
35BB53F2,Tài chính / Đầu tư
35BB53F2,Bất động sản
35BB53CA,Kế toán / Kiểm toán
35BB528D,Kế toán / Kiểm toán
35BB528D,Tài chính / Đầu tư
35BB528D,Sản xuất / Vận hành sản xuất
35BB64A5,Vận chuyển / Giao nhận /  Kho vận
35BB648B,Cơ khí / Ô tô / Tự động hóa
35BB648B,Điện / Điện tử / Điện lạnh
35BB648B,Bảo trì / Sửa chữa
35BB6449,Bán lẻ / Bán sỉ
35BB6449,Dệt may / Da giày / Thời trang
35BB5356,Bán lẻ / Bán sỉ
35BB5356,Bán hàng / Kinh doanh
35BB5356,Mới tốt nghiệp / Thực tập
35BB6450,Bán lẻ / Bán sỉ
35BB6450,Dệt may / Da giày / Thời trang
35BB645F,Bán hàng / Kinh doanh
35BB645F,Bán lẻ / Bán sỉ
35BB645F,Công nghệ thực phẩm / Dinh dưỡng
35BB64A0,Vận chuyển / Giao nhận /  Kho vận
35BB6417,Bán hàng / Kinh doanh
35BB6417,Bán lẻ / Bán sỉ
35BB6417,Thực phẩm & Đồ uống
35BB64A3,Vận chuyển / Giao nhận /  Kho vận
35BB6484,Kế toán / Kiểm toán
35BB640E,Kế toán / Kiểm toán
35BB646A,Tiếp thị / Marketing
35BB646A,Bán hàng / Kinh doanh
35BB646A,Dịch vụ khách hàng
35BB6459,Ngân hàng
35BB6459,Tài chính / Đầu tư
35BB642E,Bán hàng / Kinh doanh
35BB642E,Bán lẻ / Bán sỉ
35BB642E,Hàng gia dụng / Chăm sóc cá nhân
35BB7185,Bán hàng / Kinh doanh
35BB7185,Dịch vụ khách hàng
35BB7185,Kế toán / Kiểm toán
35BB7188,Bán lẻ / Bán sỉ
35BB7188,Bán hàng / Kinh doanh
35BB7188,Cơ khí / Ô tô / Tự động hóa
35BB640F,Nhân sự
35BB717C,Điện / Điện tử / Điện lạnh
35BB717C,Sản xuất / Vận hành sản xuất
35BB7180,Biên phiên dịch
35BB7180,Điện / Điện tử / Điện lạnh
35BB7180,Sản xuất / Vận hành sản xuất
35BB717D,Điện / Điện tử / Điện lạnh
35BB717D,Sản xuất / Vận hành sản xuất
35BB71C2,Hành chính / Thư ký
35BB71C2,Biên phiên dịch
35BB71FB,Tiếp thị / Marketing
35BB71FB,Bán hàng / Kinh doanh
35BB71FB,Thực phẩm & Đồ uống
35BB71E3,Bán hàng / Kinh doanh
35BB71E3,Vận chuyển / Giao nhận /  Kho vận
35BB71E3,Xuất nhập khẩu
35BB71C7,Bán hàng / Kinh doanh
35BB71C7,Tư vấn
35BB71C7,Dịch vụ khách hàng
35BB71BB,Dược phẩm
35BB71BB,Y tế / Chăm sóc sức khỏe
35BB71CB,Tiếp thị / Marketing
35BB71CB,Bán lẻ / Bán sỉ
35BB71CB,Bán hàng / Kinh doanh
35BB71E2,Sản xuất / Vận hành sản xuất
35BB71BC,Dược phẩm
35BB71BC,Y tế / Chăm sóc sức khỏe
35BB719E,Tiếp thị / Marketing
